Country,Brand,Name,Amount,Price,Currency,Price / stick,URL
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Half Corona (Short Filler),25,14.55,EUR,0.5820000000000001,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Panetela (Short Filler),10,8.5,EUR,0.85,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Panetela (Short Filler),25,14.55,EUR,0.5820000000000001,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Cetros (Short Filler),10,8.5,EUR,0.85,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Cetros (Short Filler),25,20.61,EUR,0.8244,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Slim Panatela (Short Filler),10,5.5,EUR,0.55,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Philippines,Flor de Filipinas Short Filler,Flor de Filipinas Slim Panatela (Short Filler),25,13.34,EUR,0.5336,https://www.hacico.de/en/Cigars/Philippines/Flor-de-Filipinas-Short-Filler
Indonesien,DJARUM KRETEK,Djarum Black Kretek Filter Cigarillo,10,3.3,EUR,0.32999999999999996,https://www.hacico.de/en/Cigars/Indonesien/DJARUM-KRETEK
Indonesien,DJARUM KRETEK,Djarum Black Kretek Filter Cigarillo,10,32.01,EUR,3.2009999999999996,https://www.hacico.de/en/Cigars/Indonesien/DJARUM-KRETEK
Indonesien,DJARUM KRETEK,Djarum Super Kretek Filter Cigarillo,10,3.3,EUR,0.32999999999999996,https://www.hacico.de/en/Cigars/Indonesien/DJARUM-KRETEK
Indonesien,DJARUM KRETEK,Djarum Super Kretek Filter Cigarillo,10,32.01,EUR,3.2009999999999996,https://www.hacico.de/en/Cigars/Indonesien/DJARUM-KRETEK
Indonesien,DJARUM KRETEK,Djarum Kretek Special,10,3.3,EUR,0.32999999999999996,https://www.hacico.de/en/Cigars/Indonesien/DJARUM-KRETEK
